"","VE_susc","Label_testingDiff","t","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5."
"82",0.55,"equal",111,0.540375666175,0.5509759255,0.560184822625,0.5822559144,0.592250143,0.6019927042,-0.921285056625,-0.897101524,-0.87288635485,7136.45,7584.5,7848.775,9559.2,10194.5,10550.05
"83",0.55,"equal",112,0.54077885675,0.550477218,0.5591907321,0.58229868545,0.592827533,0.601548967825,-0.920170796125,-0.898518449,-0.8729893768,7207.85,7622.5,7872.25,9680.925,10250,10575.3
"84",0.55,"equal",113,0.5410337269,0.550787367,0.559203107,0.582651396675,0.593030722,0.6016264223,-0.92036512605,-0.899017581,-0.87383471515,7284.425,7657.5,7898,9780.85,10298.5,10607.45
"85",0.55,"equal",114,0.54055545505,0.550938609,0.559260228675,0.582408643375,0.5935995285,0.601867039425,-0.92096925725,-0.9004162235,-0.873253470525,7340.275,7694,7917.05,9874.9,10350,10631.125
"86",0.55,"equal",115,0.54047217255,0.550988329,0.5589711629,0.582538516775,0.593695835,0.602079217275,-0.921502520225,-0.90065326,-0.8735659835,7401.375,7724.5,7933.525,9967.275,10390.5,10656.075
"87",0.55,"equal",116,0.54096470915,0.5510798955,0.559482649875,0.5827677835,0.593946312,0.602474229875,-0.922497916025,-0.9012698925,-0.874115835775,7454.525,7746.5,7949.1,10036.125,10432.5,10673.825
"88",0.55,"equal",117,0.541127339225,0.551020866,0.5594765189,0.583170779725,0.594221348,0.602869528175,-0.923492558325,-0.901947462,-0.8750796334,7509.05,7771,7961.575,10105.7,10470.5,10694.3
"89",0.55,"equal",118,0.54142278375,0.551140791,0.559717417975,0.583625949625,0.5941622145,0.6031652193,-0.924237042875,-0.9018017595,-0.8761720986,7551.25,7792,7980,10158.9,10502.5,10713.3
"90",0.55,"equal",119,0.54128068045,0.5512261575,0.5596083874,0.583957530925,0.5944478895,0.6033542219,-0.92471513265,-0.9025059425,-0.87696795655,7590.925,7815,7998.05,10215.95,10526,10731.825
"91",0.55,"equal",120,0.54115556065,0.5511921305,0.559717081175,0.58409127645,0.5944912195,0.6036496934,-0.925461254375,-0.902612757,-0.87728951205,7625.225,7832,8013.675,10271.475,10549.5,10746.4
"92",0.55,"equal",121,0.541309960575,0.551185987,0.55983027085,0.5842398182,0.594775226,0.6038497871,-0.925964779675,-0.9033133685,-0.8776466746,7648.375,7848.5,8032.05,10322.425,10571,10761.2
"93",0.55,"equal",122,0.5413365855,0.550987662,0.560104154,0.5841526912,0.594541592,0.604376682075,-0.9272974526,-0.902736991,-0.877437230575,7675.375,7862.5,8039.1,10370.325,10595,10773.525
"94",0.55,"equal",123,0.5412489116,0.551053177,0.560313705025,0.584219288725,0.594724839,0.604713612225,-0.928149115775,-0.9031890345,-0.8775973966,7695.375,7874.5,8047.625,10405.275,10616,10786
