,VE_susc,Label_testingDiff,t,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR_timeDep.2.5.,VE_symptRR_timeDep.50.,VE_symptRR_timeDep.97.5.,VacStatus_coef_timeDep_VeRR.2.5.,VacStatus_coef_timeDep_VeRR.50.,VacStatus_coef_timeDep_VeRR.97.5.,Stats_sampleSizeCovid_unvac.2.5.,Stats_sampleSizeCovid_unvac.50.,Stats_sampleSizeCovid_unvac.97.5.,Stats_sampleSizeCovid_vac.2.5.,Stats_sampleSizeCovid_vac.50.,Stats_sampleSizeCovid_vac.97.5.
75,0.1,modUnequal,33,-1.055794045,-0.658922171,-0.325119048,-1.058710457,-0.661342132,-0.325588171,0.281822183,0.507623351,0.72206968,56,98,156.2,270.125,485.5,777.05
76,0.1,modUnequal,34,-0.985725466,-0.649627792,-0.331907302,-0.989180855,-0.652604916,-0.333256291,0.287620574,0.502352607,0.68765806,62.425,115,189.025,312.95,565,903.675
77,0.1,modUnequal,35,-0.976212478,-0.649597739,-0.337907588,-0.980150563,-0.653284018,-0.33905982,0.291966741,0.502763152,0.683148332,74.95,136,219.775,368.9,666,1069.925
78,0.1,modUnequal,36,-0.918878234,-0.650153374,-0.395815229,-0.92356938,-0.654340914,-0.398114719,0.335124594,0.50340269,0.654163499,89.475,160.5,258.2,434.275,785.5,1243.55
79,0.1,modUnequal,37,-0.94675964,-0.64011307,-0.408712333,-0.952206544,-0.64465771,-0.41017075,0.343661211,0.497532283,0.668960255,109.95,190.5,306.2,510.175,922.5,1467.825
80,0.1,modUnequal,38,-0.909131506,-0.643255981,-0.447825777,-0.914620105,-0.647520253,-0.449563823,0.371262597,0.499270554,0.649518691,134.425,221,355.1,608.575,1087.5,1717.575
81,0.1,modUnequal,39,-0.927760417,-0.635033595,-0.432230392,-0.934252023,-0.640936359,-0.434983782,0.361144394,0.495266831,0.659713781,152.9,258.5,408.575,715.725,1278.5,2001.525
82,0.1,modUnequal,40,-0.893672467,-0.643788157,-0.445301918,-0.901756909,-0.650435575,-0.448072556,0.370193032,0.501038997,0.642709049,170.9,304,476.575,841.825,1497,2318.875
83,0.1,modUnequal,41,-0.857251959,-0.642902823,-0.46052176,-0.869768365,-0.651644663,-0.464201307,0.381309091,0.501771555,0.625813086,199,358,541.725,975.575,1760,2691.5
84,0.1,modUnequal,42,-0.87090998,-0.641126933,-0.481681691,-0.885700639,-0.652173375,-0.486859923,0.396524281,0.502086451,0.634295346,234.325,413.5,633.025,1156.725,2058.5,3137.75
85,0.1,modUnequal,43,-0.862277174,-0.651059865,-0.481582851,-0.874801751,-0.66270096,-0.486842699,0.396654698,0.508443111,0.628502423,273.225,479.5,726.8,1357.225,2392,3594.7
86,0.1,modUnequal,44,-0.819969711,-0.651620268,-0.523989036,-0.83690977,-0.664997948,-0.532616015,0.426975376,0.509823863,0.608084641,319.9,555.5,847.125,1599.275,2787.5,4148.7
87,0.1,modUnequal,45,-0.835624287,-0.649958229,-0.524364306,-0.850581006,-0.663966798,-0.53349001,0.427544039,0.50920438,0.615496361,374.075,646,969.225,1859.775,3234,4769.1
88,0.1,modUnequal,46,-0.793244346,-0.652309924,-0.523064579,-0.809221009,-0.669288352,-0.533943849,0.427807233,0.512397395,0.592892554,433.125,752,1115.75,2185.35,3736.5,5446.475
