Covid_probTrans,VE_infect,VE_susc,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.03,0.2,0.55,modUnequal,1,1,1.00E-04,0.666666667,0.828246014,0.116666667,0.278246014,0.00028,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,1.00E-04,NA,NA,NA,NA,0.00028,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,0.666666667,0.668816214,0.116666667,0.118816214,8.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,0.666666667,0.838783971,0.116666667,0.288783971,8.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,8.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,1,1,0.45,0.45,2.00E-04,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,2.00E-04,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,2.00E-04,4.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,0.833333333,0.823243993,0.283333333,0.273243993,0.00016,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,0.666666667,0.84935305,0.116666667,0.29935305,0.00016,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,1,1,0.45,0.45,0.00016,5.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,1,1,0.45,0.45,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,0.666666667,0.672050247,0.116666667,0.122050247,0.00024,0
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00024,0
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,0.666666667,0.881112607,0.116666667,0.331112607,0.00024,0
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,1,1,0.45,0.45,0.00012,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,1,1,0.45,0.45,0.00012,5.33E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,1,1,0.45,0.45,0.00012,1.33E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,NA,NA,NA,NA,0.00012,1.33E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,1,1,0.45,0.45,0.00012,1.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,0.666666667,0.67,0.116666667,0.12,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,0.666666667,0.813181818,0.116666667,0.263181818,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,0.888888889,0.891945591,0.338888889,0.341945591,2.00E-04,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,2.00E-04,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,2.00E-04,2.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,1,1,0.45,0.45,2.00E-04,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,2.00E-04,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,2.00E-04,2.67E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,1,1,0.45,0.45,0.00012,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,1,1,0.45,0.45,0.00012,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00012,6.67E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,0.666666667,0.824850986,0.116666667,0.274850986,0.00016,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,1,1,0.45,0.45,0.00016,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00016,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00016,2.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,0.833333333,0.839684015,0.283333333,0.289684015,0.00016,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,0.666666667,0.836431227,0.116666667,0.286431227,0.00016,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00016,4.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00012,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00012,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00012,6.67E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,NA,NA,NA,NA,0,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,NA,NA,NA,NA,0,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,NA,NA,NA,NA,0,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,1,1,0.45,0.45,0.00012,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,1,1,0.45,0.45,0.00012,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00024,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,1,1,0.45,0.45,0.00024,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00024,2.67E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,1,1,0.45,0.45,2.00E-04,1.33E-05
