VE_susc,VE_infect,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.2,0.1,equal,52,52,0.17987,0.097961578,0.119076974,-0.002038422,0.019076974,0.19524,0.174746667
0.1,0.2,0.1,modUnequal,52,52,0.17987,-0.599323973,0.030331697,-0.699323973,-0.069668303,0.19524,0.174746667
0.1,0.2,0.1,highUnequal,52,52,0.17987,-1.311537016,-0.118025967,-1.411537016,-0.218025967,0.19524,0.174746667
0.1,0.2,0.1,equal,47,47,0.17425,0.09185254,0.116642185,-0.00814746,0.016642185,0.18668,0.170106667
0.1,0.2,0.1,modUnequal,47,47,0.17425,-0.76702833,-0.072418468,-0.86702833,-0.172418468,0.18668,0.170106667
0.1,0.2,0.1,highUnequal,47,47,0.17425,-1.200825826,-0.042744327,-1.300825826,-0.142744327,0.18668,0.170106667
0.1,0.2,0.1,equal,53,53,0.2034,0.081960784,0.103477975,-0.018039216,0.003477975,0.21936,0.19808
0.1,0.2,0.1,modUnequal,53,53,0.2034,-0.667378917,-0.029692533,-0.767378917,-0.129692533,0.21936,0.19808
0.1,0.2,0.1,highUnequal,53,53,0.2034,-1.242337165,-0.074878561,-1.342337165,-0.174878561,0.21936,0.19808
0.1,0.2,0.1,equal,51,51,0.20971,0.117001136,0.13909755,0.017001136,0.03909755,0.23064,0.202733333
0.1,0.2,0.1,modUnequal,51,51,0.20971,-0.593984962,0.040025708,-0.693984962,-0.059974292,0.23064,0.202733333
0.1,0.2,0.1,highUnequal,51,51,0.20971,-1.12,-0.024060317,-1.22,-0.124060317,0.23064,0.202733333
0.1,0.2,0.1,equal,51,51,0.17343,0.096495221,0.093599895,-0.003504779,-0.006400105,0.18732,0.1688
0.1,0.2,0.1,modUnequal,51,51,0.17343,-0.647302905,-0.010642191,-0.747302905,-0.110642191,0.18732,0.1688
0.1,0.2,0.1,highUnequal,51,51,0.17343,-1.260820046,-0.114899793,-1.360820046,-0.214899793,0.18732,0.1688
0.1,0.2,0.1,equal,55,55,0.21318,0.075088787,0.098498592,-0.024911213,-0.001501408,0.22532,0.209133333
0.1,0.2,0.1,modUnequal,55,55,0.21318,-0.690310617,-0.041061103,-0.790310617,-0.141061103,0.22532,0.209133333
0.1,0.2,0.1,highUnequal,55,55,0.21318,-1.357581636,-0.159073391,-1.457581636,-0.259073391,0.22532,0.209133333
0.1,0.2,0.1,equal,51,51,0.1637,0.133956386,0.155656273,0.033956386,0.055656273,0.18084,0.157986667
0.1,0.2,0.1,modUnequal,51,51,0.1637,-0.638667846,0.004590207,-0.738667846,-0.095409793,0.18084,0.157986667
0.1,0.2,0.1,highUnequal,51,51,0.1637,-1.235625251,-0.075874276,-1.335625251,-0.175874276,0.18084,0.157986667
0.1,0.2,0.1,equal,51,51,0.21732,0.064169788,0.085128736,-0.035830212,-0.014871264,0.23548,0.211266667
0.1,0.2,0.1,modUnequal,51,51,0.21732,-0.64819701,0.001027198,-0.74819701,-0.098972802,0.23548,0.211266667
0.1,0.2,0.1,highUnequal,51,51,0.21732,-1.341768197,-0.150092032,-1.441768197,-0.250092032,0.23548,0.211266667
0.1,0.2,0.1,equal,50,50,0.20116,0.13040688,0.144710468,0.03040688,0.044710468,0.21872,0.195306667
0.1,0.2,0.1,modUnequal,50,50,0.20116,-0.606211475,0.000921451,-0.706211475,-0.099078549,0.21872,0.195306667
0.1,0.2,0.1,highUnequal,50,50,0.20116,-1.233761952,-0.100701859,-1.333761952,-0.200701859,0.21872,0.195306667
0.1,0.2,0.1,equal,50,50,0.1977,0.105459885,0.114505796,0.005459885,0.014505796,0.21376,0.192346667
0.1,0.2,0.1,modUnequal,50,50,0.1977,-0.617426985,0.012506305,-0.717426985,-0.087493695,0.21376,0.192346667
0.1,0.2,0.1,highUnequal,50,50,0.1977,-1.305125559,-0.13184255,-1.405125559,-0.23184255,0.21376,0.192346667
