VE_infect,VE_susc,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.1,0.1,modUnequal,49,49,0.18408,-0.661772703,-0.005205765,-0.761772703,-0.105205765,0.19576,0.180186667
0.1,0.1,0.1,highUnequal,49,49,0.18408,-1.236370289,-0.073207282,-1.336370289,-0.173207282,0.19576,0.180186667
0.1,0.1,0.1,equal,48,48,0.16271,0.061633282,0.060846612,-0.038366718,-0.039153388,0.17336,0.15916
0.1,0.1,0.1,modUnequal,48,48,0.16271,-0.618246236,0.007165122,-0.718246236,-0.092834878,0.17336,0.15916
0.1,0.1,0.1,highUnequal,48,48,0.16271,-1.449061662,-0.205881416,-1.549061662,-0.305881416,0.17336,0.15916
0.1,0.1,0.1,equal,46,46,0.21593,0.110865562,0.13468566,0.010865562,0.03468566,0.23504,0.20956
0.1,0.1,0.1,modUnequal,46,46,0.21593,-0.692847125,-0.041384856,-0.792847125,-0.141384856,0.23504,0.20956
0.1,0.1,0.1,highUnequal,46,46,0.21593,-1.220791168,-0.088028869,-1.320791168,-0.188028869,0.23504,0.20956
0.1,0.1,0.1,equal,49,49,0.17264,0.134938664,0.145809884,0.034938664,0.045809884,0.18744,0.167706667
0.1,0.1,0.1,modUnequal,49,49,0.17264,-0.597315436,0.038909678,-0.697315436,-0.061090322,0.18744,0.167706667
0.1,0.1,0.1,highUnequal,49,49,0.17264,-1.242638398,-0.069615422,-1.342638398,-0.169615422,0.18744,0.167706667
0.1,0.1,0.1,equal,49,49,0.20245,0.083533814,0.107914123,-0.016466186,0.007914123,0.2208,0.196333333
0.1,0.1,0.1,modUnequal,49,49,0.20245,-0.695598417,-0.040344522,-0.795598417,-0.140344522,0.2208,0.196333333
0.1,0.1,0.1,highUnequal,49,49,0.20245,-1.245252128,-0.065914941,-1.345252128,-0.165914941,0.2208,0.196333333
0.1,0.1,0.1,equal,45,45,0.18207,0.110287707,0.143529127,0.010287707,0.043529127,0.20048,0.175933333
0.1,0.1,0.1,modUnequal,45,45,0.18207,-0.638041734,0.001818319,-0.738041734,-0.098181681,0.20048,0.175933333
0.1,0.1,0.1,highUnequal,45,45,0.18207,-1.280446927,-0.076715355,-1.380446927,-0.176715355,0.20048,0.175933333
0.1,0.1,0.1,equal,47,47,0.21811,0.070710784,0.085333526,-0.029289216,-0.014666474,0.23296,0.21316
0.1,0.1,0.1,modUnequal,47,47,0.21811,-0.639213143,-0.00546073,-0.739213143,-0.10546073,0.23296,0.21316
0.1,0.1,0.1,highUnequal,47,47,0.21811,-1.342601174,-0.134380112,-1.442601174,-0.234380112,0.23296,0.21316
0.1,0.1,0.1,equal,46,46,0.16048,0.088491049,0.098572093,-0.011508951,-0.001427907,0.17256,0.156453333
0.1,0.1,0.1,modUnequal,46,46,0.16048,-0.628884826,0.025324768,-0.728884826,-0.074675232,0.17256,0.156453333
0.1,0.1,0.1,highUnequal,46,46,0.16048,-1.244332494,-0.047005663,-1.344332494,-0.147005663,0.17256,0.156453333
0.1,0.1,0.1,equal,48,48,0.17356,0.085223693,0.098875154,-0.014776307,-0.001124846,0.1902,0.168013333
0.1,0.1,0.1,modUnequal,48,48,0.17356,-0.623881432,0.034832822,-0.723881432,-0.065167178,0.1902,0.168013333
0.1,0.1,0.1,highUnequal,48,48,0.17356,-1.354825629,-0.098206245,-1.454825629,-0.198206245,0.1902,0.168013333
0.1,0.1,0.1,equal,48,48,0.19723,0.10483871,0.134881121,0.00483871,0.034881121,0.21192,0.192333333
0.1,0.1,0.1,modUnequal,48,48,0.19723,-0.666666667,-0.00921373,-0.766666667,-0.10921373,0.21192,0.192333333
0.1,0.1,0.1,highUnequal,48,48,0.19723,-1.331932773,-0.108466827,-1.431932773,-0.208466827,0.21192,0.192333333
0.1,0.1,0.1,equal,46,46,0.15598,0.135263247,0.162030183,0.035263247,0.062030183,0.16952,0.151466667
0.1,0.1,0.1,modUnequal,46,46,0.15598,-0.601756036,0.058809099,-0.701756036,-0.041190901,0.16952,0.151466667
0.1,0.1,0.1,highUnequal,46,46,0.15598,-1.141719078,-0.017976957,-1.241719078,-0.117976957,0.16952,0.151466667
0.1,0.1,0.1,equal,50,50,0.20186,0.08721865,0.115449001,-0.01278135,0.015449001,0.2166,0.196946667
0.1,0.1,0.1,modUnequal,50,50,0.20186,-0.616370107,0.002237857,-0.716370107,-0.097762143,0.2166,0.196946667
