VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,VE_symptOR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,totalNum_sims
0.1,modUnequal,0.5,Highest Growth,-0.744933229,-0.103852013,636.5,3141,5033.5,24744,100
0.1,modUnequal,0.5,Peak,-0.702135722,-0.110804369,1451.5,6976.5,5539.5,26340.5,100
0.1,highUnequal,0.5,Highest Growth,-1.341970021,-0.182930233,467,3141,3984,24744,100
0.1,highUnequal,0.5,Peak,-1.301135826,-0.230504965,1056.5,6976.5,4509.5,26340.5,100
0.1,equal,0.5,Highest Growth,-0.036312509,-0.02921808,1096.5,3080,8142.5,24614,100
0.1,equal,0.5,Peak,-0.014166501,-0.004467492,2516.5,6901.5,8641.5,26202.5,100
0.1,modUnequal,0.5,Highest Growth,-0.719348055,-0.09395102,634,3080,5036,24614,100
0.1,modUnequal,0.5,Peak,-0.688743094,-0.105905846,1448,6901.5,5530,26202.5,100
0.1,highUnequal,0.5,Highest Growth,-1.394227188,-0.179211404,447.5,3080,3859.5,24614,100
0.1,highUnequal,0.5,Peak,-1.288867745,-0.193661159,1051,6901.5,4364,26202.5,100
0.1,equal,0.5,Highest Growth,0.005006105,0.00197186,1092,2932,8287,24777,100
0.1,equal,0.5,Peak,-0.010562633,-0.008661378,2512,6862,8762,26341,100
0.1,modUnequal,0.5,Highest Growth,-0.759309564,-0.113788117,589,2932,5046,24777,100
0.1,modUnequal,0.5,Peak,-0.75031265,-0.138454583,1386,6862,5525,26341,100
0.1,highUnequal,0.5,Highest Growth,-1.396905601,-0.200339873,425.5,2932,3956.5,24777,100
0.1,highUnequal,0.5,Peak,-1.316408269,-0.231890362,1032,6862,4484,26341,100
0.1,equal,0.5,Highest Growth,0.014628998,0.023790029,1026.5,2726.5,8225.5,24934.5,100
0.1,equal,0.5,Peak,0.018383258,0.031742345,2437,6445.5,8720,26562.5,100
0.1,modUnequal,0.5,Highest Growth,-0.697246632,-0.066246293,569,2726.5,5028,24934.5,100
0.1,modUnequal,0.5,Peak,-0.73135915,-0.119994833,1317,6445.5,5536,26562.5,100
0.1,highUnequal,0.5,Highest Growth,-1.330265849,-0.165692212,407.5,2726.5,3971.5,24934.5,100
0.1,highUnequal,0.5,Peak,-1.342693111,-0.241842132,958,6445.5,4508,26562.5,100
0.1,equal,0.5,Highest Growth,-0.005946118,-0.013318877,1045.5,2841.5,8258.5,24575.5,100
0.1,equal,0.5,Peak,-0.012152644,-0.010974734,2603,7123,8765,26329,100
0.1,modUnequal,0.5,Highest Growth,-0.690540162,-0.095175716,595.5,2841.5,5125.5,24575.5,100
0.1,modUnequal,0.5,Peak,-0.715192744,-0.139639615,1470,7123,5649,26329,100
0.1,highUnequal,0.5,Highest Growth,-1.371382894,-0.204937132,417,2841.5,3985,24575.5,100
0.1,highUnequal,0.5,Peak,-1.333615553,-0.256722552,1063,7123,4545,26329,100
0.1,equal,0.5,Highest Growth,0.01136335,0.010269867,1321.5,3523,8543.5,25599,100
0.1,equal,0.5,Peak,0.001192791,0.000974541,2571,6932.5,8925,26768.5,100
0.1,modUnequal,0.5,Highest Growth,-0.78847352,-0.154182899,695.5,3523,5327.5,25599,100
0.1,modUnequal,0.5,Peak,-0.698639456,-0.125975551,1445.5,6932.5,5726.5,26768.5,100
0.1,highUnequal,0.5,Highest Growth,-1.295015576,-0.181687624,535,3523,4205,25599,100
0.1,highUnequal,0.5,Peak,-1.257640834,-0.218376695,1071,6932.5,4625,26768.5,100
0.1,equal,0.5,Highest Growth,0.01298606,0.016628755,1363,3627,8326,25081,100
0.1,equal,0.5,Peak,0.002510855,0.01027566,2648.5,7131,8727.5,26411,100
