"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"29553",0.55,"equal",68,68,0.05,0.07606,0.545623836126629,0.566860650779756,-0.00437616387337059,0.016860650779756,3780,11896,100
"29904",0.55,"modUnequal",68,68,0.05,0.07606,0.218887555022009,0.559343845137248,-0.331112444977991,0.00934384513724784,2237,11896,100
"30255",0.55,"highUnequal",68,68,0.05,0.07606,-0.054565099945975,0.539381282841351,-0.604565099945975,-0.0106187171586489,1732,11896,100
"30607",0.55,"equal",69,69,0.05,0.09867,0.554911263398348,0.599885000957816,0.00491126339834813,0.0498850009578156,3615,12064,100
"30958",0.55,"modUnequal",69,69,0.05,0.09867,0.177864329763064,0.55226862123204,-0.372135670236936,0.00226862123203997,2190,12064,100
"31309",0.55,"highUnequal",69,69,0.05,0.09867,-0.0797101449275361,0.551075423826548,-0.629710144927536,0.00107542382654824,1672,12064,100
"31664",0.55,"equal",73,73,0.05,0.11494,0.545766249254621,0.596116096446656,-0.00423375074537868,0.0461160964466556,3722,12558,100
"32015",0.55,"modUnequal",73,73,0.05,0.11494,0.173582858692704,0.553426762150716,-0.376417141307296,0.0034267621507158,2262,12558,100
"32366",0.55,"highUnequal",73,73,0.05,0.11494,-0.113669590643275,0.524043263817291,-0.663669590643275,-0.0259567361827087,1789,12558,100
"32716",0.55,"equal",72,72,0.05,0.08017,0.55243078264661,0.579024383004148,0.0024307826466099,0.0290243830041483,3910,12471,100
"33067",0.55,"modUnequal",72,72,0.05,0.08017,0.254538852578068,0.579837510606306,-0.295461147421932,0.0298375106063059,2343,12471,100
"33418",0.55,"highUnequal",72,72,0.05,0.08017,-0.0593395252837978,0.543084972616346,-0.609339525283798,-0.00691502738365402,1793,12471,100
"33769",0.55,"equal",72,72,0.05,0.08733,0.581457972687055,0.603721927989833,0.0314579726870552,0.0537219279898327,3898,12351,100
"34120",0.55,"modUnequal",72,72,0.05,0.08733,0.218390804597701,0.552525413271018,-0.331609195402299,0.00252541327101807,2357,12351,100
"34471",0.55,"highUnequal",72,72,0.05,0.08733,-0.0244821092278718,0.555568363594613,-0.574482109227872,0.00556836359461277,1786,12351,100
"34837",0.55,"equal",87,87,0.05,0.08896,0.58254585881045,0.612775000488854,0.0325458588104501,0.0627750004888541,4509,14583,100
"35188",0.55,"modUnequal",87,87,0.05,0.08896,0.22974358974359,0.568840219644581,-0.32025641025641,0.0188402196445808,2721,14583,100
"35539",0.55,"highUnequal",87,87,0.05,0.08896,-0.0273597811217512,0.543278237604587,-0.577359781121751,-0.00672176239541333,2161,14583,100
"35871",0.55,"equal",68,68,0.05,0.07339,0.560159176029962,0.595819964441165,0.0101591760299624,0.0458199644411654,3676,12001,100
"36222",0.55,"modUnequal",68,68,0.05,0.07339,0.226748971193416,0.564695946119716,-0.323251028806584,0.0146959461197163,2252,12001,100
"36573",0.55,"highUnequal",68,68,0.05,0.07339,-0.100761570005858,0.500020721764692,-0.650761570005858,-0.0499792782353081,1817,12001,100
