VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,VE_symptOR_degUnderNeg_testSens,totalNum_sims
0.55,highUnequal,0.5,Peak,-0.60851561,891.5,2831,5820.5,33759,-0.097506453,100
0.55,equal,0.5,Highest Growth,-0.007724426,958,1315.5,10367,31849.5,0.003032626,100
0.55,equal,0.5,Peak,0.00057311,2152,2901.5,10860,34340.5,0.023613428,100
0.55,modUnequal,0.5,Highest Growth,-0.365055762,538,1315.5,6630,31849.5,-0.059001997,100
0.55,modUnequal,0.5,Peak,-0.350634658,1208,2901.5,7284,34340.5,-0.059470408,100
0.55,highUnequal,0.5,Highest Growth,-0.680154639,388,1315.5,5325,31849.5,-0.116860402,100
0.55,highUnequal,0.5,Peak,-0.645939566,882.5,2901.5,6036.5,34340.5,-0.127944921,100
0.55,equal,0.5,Highest Growth,-0.000311111,937.5,1266.5,9945.5,30236.5,0.005646075,100
0.55,equal,0.5,Peak,-0.002497952,2035,2762.5,10498,32796.5,0.015472824,100
0.55,modUnequal,0.5,Highest Growth,-0.358748404,522,1266.5,6240,30236.5,-0.050711726,100
0.55,modUnequal,0.5,Peak,-0.358457711,1139,2762.5,6829,32796.5,-0.055019534,100
0.55,highUnequal,0.5,Highest Growth,-0.700317893,367,1266.5,4890,30236.5,-0.108105716,100
0.55,highUnequal,0.5,Peak,-0.652794411,835,2762.5,5518,32796.5,-0.106634357,100
0.55,equal,0.5,Highest Growth,0.01703738,1079,1401.5,10909,33943.5,0.032554314,100
0.55,equal,0.5,Peak,0.006878622,2099.5,2791,11264.5,35713,0.030695481,100
0.55,modUnequal,0.5,Highest Growth,-0.349942922,584,1401.5,6984,33943.5,-0.043773598,100
0.55,modUnequal,0.5,Peak,-0.34481703,1170.5,2791,7461.5,35713,-0.048182225,100
0.55,highUnequal,0.5,Highest Growth,-0.62148318,436,1401.5,5700,33943.5,-0.089790015,100
