"","VE_susc","t","Label_testingDiff","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","CumProp_falseNeg_vac.2.5.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.97.5.","CumProp_falseNeg_unvac.2.5.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.97.5.","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"134",0.1,92,"highUnequal",0.307624,0.31352,0.320319,0.361000666666667,0.364466666666667,0.367489,0.0521698920513286,0.0576033276948485,0.0625938180660395,0.0928351299625346,0.107259072547304,0.118767358567023,-0.43168797009112,-0.372577737175651,-0.318859356926841,0.200684626918861,0.225163052913558,0.248273234987529,-1.12511677344554,-1.05866678945622,-1.00818109625232,0.0869686123457566,0.0995794806829437,0.109116240170214,47,50,53,100
"135",0.1,93,"highUnequal",0.308694,0.31478,0.321393,0.362217333333333,0.365753333333333,0.369012333333333,0.053697894844453,0.0589503051540392,0.0639609607718275,0.0962265808554566,0.110066721265266,0.122205383371671,-0.435036098543887,-0.37673203817034,-0.321784015361118,0.201176882249644,0.225216112410857,0.24854446599662,-1.12501496136153,-1.0587192042326,-1.00811341093598,0.0869808688273103,0.0995558912398024,0.109070240278747,47,50,53,100
"136",0.1,94,"highUnequal",0.30994,0.31578,0.322717,0.363493666666667,0.367073333333333,0.370445,0.0548265218811555,0.060379846544872,0.0652250549210618,0.0996776174650593,0.112671038760417,0.124746662654349,-0.439815931101463,-0.379566300089124,-0.326265949328256,0.201265731911866,0.225144335099882,0.248688716867604,-1.12551875310083,-1.05869141982534,-1.00824464345708,0.0869052583804658,0.0995430523634757,0.109198752582836,47,50,53,100
"137",0.1,95,"highUnequal",0.311222,0.31696,0.323894,0.364726666666667,0.368326666666667,0.371635,0.0563286282351826,0.0618367291946592,0.0668543411882758,0.102071538822056,0.115678021699974,0.126956935256179,-0.444557926759935,-0.382159939441895,-0.329241857073224,0.200893257439385,0.225023526199988,0.248447730908741,-1.12575423091744,-1.05816552401157,-1.0080247363306,0.0868939118265355,0.0995624830689692,0.109135140342989,47,50,53,100
"138",0.1,96,"highUnequal",0.312213,0.31822,0.324925,0.366078333333333,0.369633333333333,0.372924333333333,0.0576301498023151,0.0631337774707479,0.0681008425602382,0.104423098472723,0.118149725291177,0.129443862219357,-0.44822997673125,-0.387987872998869,-0.333457517634771,0.200478969752612,0.225074294044057,0.249013889958385,-1.1253954289098,-1.05769549755682,-1.0079934135542,0.0868629551007795,0.0994872405910101,0.109115122012831,47,50,53,100
"139",0.1,97,"highUnequal",0.313333,0.31936,0.326157,0.367222,0.370886666666667,0.374118,0.0588350565005478,0.0643825420972529,0.069146932139434,0.106988633354171,0.121006455997945,0.131621684094648,-0.453701583015554,-0.391467026751698,-0.338084974695182,0.200282145613029,0.224923277219384,0.24943953643036,-1.12537405628549,-1.05794014719638,-1.00726948287827,0.0869157286429357,0.0995703119133676,0.109170669976824,47,50,53,100
"140",0.1,98,"highUnequal",0.314479,0.32038,0.327347,0.368393333333333,0.372166666666667,0.375264666666667,0.0601717794090017,0.0658568196227872,0.07041250586046,0.109975208376076,0.123780947185202,0.134105406933304,-0.457915432742015,-0.395147778501932,-0.341075019614574,0.200060653203621,0.225290529876965,0.249218055769897,-1.12435732017474,-1.05792677297058,-1.00738698138193,0.0869054097343504,0.0995538915229411,0.109179882567448,47,50,53,100
"141",0.1,99,"highUnequal",0.315681,0.32144,0.328301,0.36966,0.37342,0.376339666666667,0.0615438422368445,0.0670423704418412,0.0716274028341563,0.11260449932612,0.126909731046245,0.136446298002804,-0.461063339123474,-0.400033342685728,-0.345102978992082,0.200170154011864,0.225006121737472,0.248469432392482,-1.12441351191178,-1.05808962364892,-1.00767122595515,0.0869054097343504,0.099513335415153,0.109148424124773,47,50,53,100
"142",0.1,100,"highUnequal",0.316679,0.3225,0.329324,0.37085,0.37458,0.377599333333333,0.0628139970597876,0.0682286033688788,0.0729331471942175,0.115402403261569,0.129439138674838,0.139542629909984,-0.466042940214996,-0.403093034640264,-0.350054962928625,0.200142125627147,0.224730142273596,0.248438572347078,-1.1246258797822,-1.05800792983299,-1.00707744656668,0.0868618931094925,0.0995109015557084,0.109115922812195,47,50,53,100
"143",0.1,30,"modUnequal",0.454274,0.4611,0.467745,0.457392333333333,0.4614,0.463974,0,0.000167014831313734,0.000336531033986465,0,0.00028595941714978,0.000866669620269323,-0.458505023910641,0.00229211666533747,0.291070893269346,-0.0554094760976361,0.0893167117090344,0.206837613225956,-1.50885416666667,-0.702200577200577,-0.217056918339174,-0.0579769873940422,0.089679657871379,0.207112068965518,47,50,53,100
"144",0.1,31,"modUnequal",0.462676,0.46978,0.476327,0.466101666666667,0.470026666666666,0.472741,0,0.000163952384182436,0.000358275544504567,0,0.000280426446368599,0.000844993883089992,-0.320447957729724,0.0225560279321199,0.247787599930939,-0.0483845011958066,0.0855539998425837,0.207193039704373,-1.24245495495495,-0.697231735159817,-0.289380149812734,-0.0538147530349365,0.0826702833031948,0.197187117524834,47,50,53,100
"145",0.1,32,"modUnequal",0.470312,0.47768,0.484629,0.474256333333333,0.478346666666666,0.481150666666667,2.53117339869977e-05,0.000160776109305179,0.000426627577942059,0,0.000276281301766963,0.000973038262477851,-0.303187544719164,0.0222391659566674,0.215537837453679,-0.0487045690353422,0.07868377561542,0.192694894301106,-1.21145833333333,-0.672839506172839,-0.346171171171171,-0.0564541903409091,0.0815452072514219,0.183022747901067,47,50,53,100
"146",0.1,33,"modUnequal",0.477573,0.48568,0.492355,0.481078,0.486333333333334,0.489698666666667,5.20248734078578e-05,0.000208708357439255,0.000419302298136097,0,0.000517340577707238,0.001072264057069,-0.264471243382424,0.0231130804916775,0.198746159602269,0.00401449949081178,0.0956906428060942,0.196230134026606,-1.16192380460956,-0.661131003827633,-0.388691342402193,-0.00271855206952425,0.0967259285337088,0.190304182509506,47,50,53,100
"147",0.1,34,"modUnequal",0.484502,0.49308,0.49959,0.487476333333333,0.494033333333333,0.497655333333333,0.000101238829886251,0.00025380072397589,0.000560809241866804,0,0.000515862917778942,0.00129853725062712,-0.195567756958584,0.0185857504964823,0.173614567762557,0.0114716935212875,0.0976383794040188,0.184088115013101,-1.03883179777935,-0.674517689842209,-0.41250987947046,0.00610890999112419,0.0989200222609834,0.179414927261227,47,50,53,100
"148",0.1,35,"modUnequal",0.490714,0.49986,0.507457,0.493457333333333,0.50144,0.505149666666667,9.91541838948066e-05,0.000295742308566239,0.000574216464377346,0,0.000508841188470737,0.00140069204397325,-0.176611810670468,0.0274958671722614,0.159669817782851,0.0166536676659227,0.0925460713409503,0.184173172465092,-0.996008403361344,-0.672945910537151,-0.454718137254902,0.0130660935050249,0.0916460030927874,0.178787736106562,47,50,53,100
"149",0.1,36,"modUnequal",0.496537,0.50624,0.514303,0.499289333333333,0.5079,0.512527666666667,9.75214781845516e-05,0.000339970859640602,0.000631736936571536,0,0.000504605166668025,0.00160516282184991,-0.167775746186927,0.00891974022993003,0.165808521738915,0.0141090294127775,0.0981295867937326,0.178155560537757,-0.988665501165504,-0.694453086803858,-0.439135338345865,0.0157380967161214,0.095278390322095,0.168810054812948,47,50,53,100
