VE_susc,t,Label_testingDiff,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,NonCovid_cumPropSymptInfect_unvac.2.5.,NonCovid_cumPropSymptInfect_unvac.50.,NonCovid_cumPropSymptInfect_unvac.97.5.,NonCovid_cumPropSymptInfect_vac.2.5.,NonCovid_cumPropSymptInfect_vac.50.,NonCovid_cumPropSymptInfect_vac.97.5.,CumProp_falseNeg_vac.2.5.,CumProp_falseNeg_vac.50.,CumProp_falseNeg_vac.97.5.,CumProp_falseNeg_unvac.2.5.,CumProp_falseNeg_unvac.50.,CumProp_falseNeg_unvac.97.5.,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptOR.2.5.,VE_symptOR.50.,VE_symptOR.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR.2.5.,VE_symptRR.50.,VE_symptRR.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.,totalNum_sims
0.55,62,equal,0.032822,0.06654,0.107095,0.015224333,0.029693333,0.047765667,0.622026,0.6511,0.675788,0.663702667,0.676093333,0.687555667,0.000353401,0.000869131,0.00161036,0.000601299,0.00179274,0.003367449,0.526098537,0.567200592,0.60177576,0.529770788,0.571741914,0.594932778,0.514433516,0.550286735,0.592987615,0.520359995,0.550531826,0.57312855,65,73,80,100
0.55,63,equal,0.036306,0.07204,0.115387,0.016832,0.032433333,0.051826667,0.621138,0.6521,0.678491,0.665744333,0.6793,0.691691333,0.000384824,0.000894129,0.001768106,0.000692672,0.001971537,0.003759155,0.526057262,0.569711013,0.606870039,0.533662024,0.570260759,0.59605842,0.512707611,0.551318005,0.588026716,0.520484251,0.550426091,0.574511479,65,73,80,100
0.55,64,equal,0.040215,0.07884,0.125632,0.018467,0.035126667,0.055896333,0.618339,0.65242,0.681061,0.667964333,0.682586667,0.696197667,0.000425517,0.000966914,0.001955788,0.000784361,0.002155612,0.003864827,0.520716412,0.571932468,0.602363743,0.534703462,0.573915523,0.599810913,0.509700692,0.552898662,0.590344873,0.518818578,0.55157614,0.576355184,65,73,80,100
0.55,65,equal,0.043918,0.08564,0.135875,0.020083,0.038533333,0.060355667,0.615339,0.65196,0.68327,0.669764667,0.684846667,0.699964667,0.000456798,0.001095398,0.002061912,0.000873368,0.002285497,0.004310104,0.522930244,0.570921364,0.60452171,0.538800938,0.575801614,0.59932953,0.51052109,0.551488207,0.585272579,0.521424271,0.550494889,0.574872421,65,73,80,100
0.55,66,equal,0.048193,0.09286,0.146117,0.022042333,0.04198,0.065326,0.61266,0.65078,0.685101,0.670989667,0.6873,0.703193333,0.000485356,0.001164949,0.002212712,0.000961939,0.00256667,0.004533185,0.532006221,0.574023242,0.605300108,0.542222915,0.577221893,0.599754435,0.51654741,0.550824911,0.585117772,0.52327184,0.549068258,0.574790429,65,73,80,100
0.55,67,equal,0.05301,0.10162,0.157249,0.024134667,0.045686667,0.070343,0.608442,0.64932,0.686222,0.672189,0.689326667,0.706188333,0.0005592,0.001324404,0.002408306,0.001047912,0.002803374,0.005032221,0.534894592,0.574851303,0.601657171,0.54249414,0.579681524,0.603250896,0.516893266,0.55023572,0.583995035,0.523734334,0.550242294,0.57444806,65,73,80,100
0.55,68,equal,0.058135,0.11006,0.168983,0.026395,0.049693333,0.075482667,0.604029,0.64814,0.686936,0.672963333,0.691166667,0.709439333,0.000632602,0.001390307,0.002557426,0.001250139,0.003131003,0.005289058,0.538415302,0.576572072,0.603720117,0.544287568,0.583010067,0.60804517,0.519759166,0.551398341,0.584743833,0.523886294,0.5505146,0.576537246,65,73,80,100
0.55,69,equal,0.063524,0.11868,0.18091,0.028751667,0.053733333,0.080936667,0.599261,0.6458,0.686585,0.673307667,0.693086667,0.712452333,0.000671678,0.001469638,0.002697557,0.001300648,0.003368592,0.005912326,0.542959862,0.577738037,0.604393854,0.548489228,0.584685771,0.610925743,0.524037865,0.549948019,0.581350547,0.526153763,0.550152166,0.572494584,65,73,80,100
0.55,70,equal,0.069543,0.1286,0.193935,0.031572333,0.057846667,0.086537667,0.593625,0.6426,0.686406,0.673193,0.694266667,0.714804667,0.000762695,0.00162362,0.002943156,0.001570722,0.003586562,0.006328383,0.549893956,0.581679491,0.606091463,0.551990721,0.5873028,0.613428185,0.525340673,0.551568578,0.578071171,0.529222218,0.549436343,0.570521402,65,73,80,100
0.55,71,equal,0.076218,0.13928,0.206587,0.034449,0.062446667,0.092236333,0.588042,0.63876,0.685751,0.673298333,0.69532,0.717032,0.000877391,0.001807064,0.003151881,0.001711734,0.003815948,0.006682765,0.55128385,0.584521152,0.607592396,0.557141152,0.589412592,0.617713522,0.527316541,0.550960269,0.577914044,0.530120833,0.550610953,0.569252069,65,73,80,100
