,V1,Covid_infect_unvac,Covid_infect_vac,Covid_infect,Covid_propInfect_unvac,Covid_propInfect_vac,Covid_propInfect,Covid_cumInfect_unvac,Covid_cumInfect_vac,Covid_symptInfect_unvac,Covid_symptInfect_vac,Covid_symptInfect,Covid_propSymptInfect_unvac,Covid_propSymptInfect_vac,Covid_propSymptInfect,NonCovid_symptInfect_unvac,NonCovid_symptInfect_vac,NonCovid_symptInfect,NonCovid_propSymptInfect_unvac,NonCovid_propSymptInfect_vac,NonCovid_propSymptInfect,CoInfect_unvac,CoInfect_vac,Sympt_coInfect_unvac,Sympt_coInfect_vac,NeverInfect_unvac,NeverInfect_vac,Covid_cumSymptInfect_unvac,Covid_cumSymptInfect_vac,Covid_cumSymptInfect,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac,Covid_cumPropSymptInfect,NonCovid_cumSymptInfect_covidSusc_unvac,NonCovid_cumSymptInfect_covidSusc_vac,NonCovid_cumSymptInfect_unvac,NonCovid_cumSymptInfect_vac,NonCovid_cumSymptInfect,NonCovid_cumPropSymptInfect_unvac,NonCovid_cumPropSymptInfect_vac,NonCovid_cumPropSymptInfect,Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,Covid_cumSymptExpInfect_tested,Covid_cumPropSymptExpInfect_tested_unvac,Covid_cumPropSymptExpInfect_tested_vac,Covid_cumPropSymptExpInfect_tested,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,NonCovid_cumSymptInfect_tested,NonCovid_cumPropSymptInfect_tested_unvac,NonCovid_cumPropSymptInfect_tested_vac,NonCovid_cumPropSymptInfect_tested,EverTested_unvac,EverTested_vac,CumNum_falsePos_unvac,CumNum_falsePos_vac,CumProp_falsePos_unvac,CumProp_falsePos_vac,CumNum_falseNeg_unvac,CumNum_falseNeg_vac,CumProp_falseNeg_unvac,CumProp_falseNeg_vac,CumNum_misclass_unvac,CumNum_misclass_vac,CumProp_misclass_unvac,CumProp_misclass_vac,VE_symptRR,VE_symptOR,VE_symptSuscOR,VE_symptRR_observed,VE_symptOR_observed,Label_veSusc,Label_veInfect,Label_veJoint,t,TestedStarted_bin,Label_testingDiff,VE_symptRR_degUnder_highChange_trueVeff,VE_symptOR_degUnder_highChange_trueVeff,VE_symptRR_degUnder_highChange_targEst,VE_symptOR_degUnder_highChange_targEst,VE_symptRR_degUnder_peak_trueVeff,VE_symptOR_degUnder_peak_trueVeff,VE_symptRR_degUnder_peak_targEst,VE_symptOR_degUnder_peak_targEst,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,Covid_cumPropSymptInfect_final,t_highChange,t_peak,t_end,VE_susc,VE_infect,Covid_probTrans,NonCovid_propSympt,Epi_simNum,Seed_num,Avg_numContacts
100920,354,9089,24921,34010,0.36356,0.33228,0.3401,11046,30080,3383,9323,12706,0.13532,0.124306667,0.12706,3721,11279,15000,0.14884,0.150386667,0.15,1355,3738,504,1365,5178,16853,4658,12625,17283,0.18632,0.168333333,0.17283,8774,28059,12740,39047,51787,0.5096,0.520626667,0.51787,870,5882,6752,0.0348,0.078426667,0.06752,3568,22055,25623,0.14272,0.294066667,0.25623,4438,27937,132,1018,0.029743128,0.036439131,19,86,0.004281208,0.003078355,151,1104,0.034024335,0.039517486,0.096536425,0.115671426,0.152465582,-1.253639847,-0.093763814,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,highUnequal,1.353639847,0.193763814,1.350176272,0.20943524,1.294251734,0.261448145,1.29408423,0.311694899,0.17283,0.3682,0.57101,51,59,1234,0.1,0.2,0.1,0.15,29,975709505,6.0049
101370,351,10291,28319,38610,0.41164,0.377586667,0.3861,12769,34763,3999,11087,15086,0.15996,0.147826667,0.15086,3622,11378,15000,0.14488,0.151706667,0.15,1512,4233,593,1676,4824,15731,5599,15305,20904,0.22396,0.204066667,0.20904,7405,24498,11707,36268,47975,0.46828,0.483573333,0.47975,1028,7062,8090,0.04112,0.09416,0.0809,3303,20414,23717,0.13212,0.272186667,0.23717,4331,27476,161,1184,0.037173863,0.043092153,18,84,0.004156084,0.003057214,179,1268,0.041329947,0.046149367,0.088825385,0.117641898,0.173738915,-1.289883268,-0.111514319,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,highUnequal,1.389883268,0.211514319,1.378708654,0.229156217,1.355411255,0.294925536,1.33589922,0.325894155,0.20904,0.38307,0.57245,48,55,124,0.1,0.2,0.1,0.15,3,615798880,6.0047
101824,352,10257,27640,37897,0.41028,0.368533333,0.37897,12528,33987,4029,10823,14852,0.16116,0.144306667,0.14852,3722,11278,15000,0.14888,0.150373333,0.15,1573,4216,638,1649,4786,15586,5512,14914,20426,0.22048,0.198853333,0.20426,7685,25418,11946,37159,49105,0.47784,0.495453333,0.49105,1021,7059,8080,0.04084,0.09412,0.0808,3414,20858,24272,0.13656,0.278106667,0.24272,4435,27917,152,1155,0.03427283,0.04137264,27,81,0.006087937,0.002901458,179,1236,0.040360767,0.044274098,0.098089018,0.130151894,0.181935727,-1.30460333,-0.131640009,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.40460333,0.231640009,1.402692348,0.261791903,1.317758648,0.266527124,1.315108992,0.326560672,0.20426,0.37784,0.57307,49,56,1234,0.1,0.2,0.1,0.15,30,155940175,6.00556
102277,352,9211,24739,33950,0.36844,0.329853333,0.3395,11140,29997,3482,9270,12752,0.13928,0.1236,0.12752,3780,11220,15000,0.1512,0.1496,0.15,1406,3726,537,1412,5336,17414,4722,12709,17431,0.18888,0.169453333,0.17431,8522,27581,12391,38117,50508,0.49564,0.508226667,0.50508,864,5940,6804,0.03456,0.0792,0.06804,3507,21319,24826,0.14028,0.284253333,0.24826,4371,27259,166,1076,0.03797758,0.039473202,16,58,0.00366049,0.002127738,182,1134,0.041638069,0.041600939,0.102851899,0.125070536,0.168395332,-1.291666667,-0.130945401,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.391666667,0.230945401,1.394518566,0.256015937,1.329002625,0.280635531,1.331105026,0.343423814,0.17431,0.37129,0.57482,49,57,119,0.1,0.2,0.1,0.15,31,303920603,6.00478
102731,353,10352,28236,38588,0.41408,0.37648,0.38588,12887,34519,3898,10939,14837,0.15592,0.145853333,0.14837,3753,11247,15000,0.15012,0.14996,0.15,1506,4209,553,1705,4536,15425,5524,14974,20498,0.22096,0.199653333,0.20498,7573,25050,12145,37129,49274,0.4858,0.495053333,0.49274,1029,6932,7961,0.04116,0.092426667,0.07961,3424,21046,24470,0.13696,0.280613333,0.2447,4453,27978,184,1105,0.041320458,0.039495318,20,68,0.004491354,0.002430481,204,1173,0.045811812,0.041925799,0.096427709,0.113316911,0.180508628,-1.245545837,-0.095991962,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.345545837,0.195991962,1.341973547,0.209308874,1.268750965,0.238714374,1.264837753,0.287218735,0.20498,0.3832,0.57219,50,57,119,0.1,0.2,0.1,0.15,32,396535081,6.00514
103184,353,10741,28975,39716,0.42964,0.386333333,0.39716,13344,36163,4220,11381,15601,0.1688,0.151746667,0.15601,3673,11327,15000,0.14692,0.151026667,0.15,1618,4388,672,1737,4531,14710,5925,16042,21967,0.237,0.213893333,0.21967,7124,24118,11726,36577,48303,0.46904,0.487693333,0.48303,1078,7561,8639,0.04312,0.100813333,0.08639,3310,20783,24093,0.1324,0.277106667,0.24093,4388,28344,169,1285,0.038514129,0.045335874,23,103,0.005241568,0.003633926,192,1388,0.043755697,0.0489698,0.097496484,0.13201551,0.20025271,-1.337971552,-0.117069601,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.437971552,0.217069601,1.435468036,0.249085111,1.349917081,0.256521572,1.336958416,0.297372093,0.21967,0.37056,0.57108,50,56,1234,0.1,0.2,0.1,0.15,33,30212475,6.00488
103636,352,9904,26562,36466,0.39616,0.35416,0.36466,12027,32393,3733,10215,13948,0.14932,0.1362,0.13948,3773,11227,15000,0.15092,0.149693333,0.15,1521,3892,553,1506,4973,16490,5144,13962,19106,0.20576,0.18616,0.19106,7998,26109,12226,37400,49626,0.48904,0.498666667,0.49626,925,6471,7396,0.037,0.08628,0.07396,3392,21079,24471,0.13568,0.281053333,0.24471,4317,27550,165,1094,0.038220987,0.039709619,16,81,0.003706278,0.002940109,181,1175,0.041927264,0.042649728,0.09525661,0.112722511,0.16854675,-1.331891892,-0.125733284,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.431891892,0.225733284,1.427148502,0.238455795,1.366056601,0.292686413,1.358905036,0.333650261,0.19106,0.36634,0.57236,49,56,1234,0.1,0.2,0.1,0.15,34,375498960,6.00526
104092,355,10128,27635,37763,0.40512,0.368466667,0.37763,12373,33781,3886,10599,14485,0.15544,0.14132,0.14485,3751,11249,15000,0.15004,0.149986667,0.15,1480,4152,564,1599,4563,15073,5313,14560,19873,0.21252,0.194133333,0.19873,8061,26139,12576,38227,50803,0.50304,0.509693333,0.50803,969,6796,7765,0.03876,0.090613333,0.07765,3681,21764,25445,0.14724,0.290186667,0.25445,4650,28560,167,1202,0.035913978,0.042086835,27,88,0.005806452,0.003081232,194,1290,0.04172043,0.045168067,0.086517347,0.098441585,0.154873905,-1.337805298,-0.18619665,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,highUnequal,1.437805298,0.28619665,1.424322645,0.284638236,1.267856576,0.274669611,1.261754221,0.316377173,0.19873,0.37514,0.57155,52,59,1234,0.1,0.2,0.1,0.15,35,989561204,6.0052
104547,357,8984,24172,33156,0.35936,0.322293333,0.33156,10841,29025,3351,9010,12361,0.13404,0.120133333,0.12361,3806,11194,15000,0.15224,0.149253333,0.15,1337,3600,505,1311,5020,16369,4554,12164,16718,0.18216,0.162186667,0.16718,9137,29598,13229,40501,53730,0.52916,0.540013333,0.5373,801,5620,6421,0.03204,0.074933333,0.06421,3760,22822,26582,0.1504,0.304293333,0.26582,4561,28442,118,991,0.025871519,0.034842838,13,59,0.002850252,0.002074397,131,1050,0.028721772,0.036917235,0.109647197,0.127541747,0.175435479,-1.338743238,-0.155947056,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,54,TRUE,highUnequal,1.438743238,0.255947056,1.448390434,0.283488803,1.357583548,0.317071623,1.360608923,0.372872799,0.16718,0.36315,0.57216,54,62,126,0.1,0.2,0.1,0.15,36,253206626,6.00492
104997,354,10475,28303,38778,0.419,0.377373333,0.38778,12868,34798,4090,11102,15192,0.1636,0.148026667,0.15192,3707,11293,15000,0.14828,0.150573333,0.15,1511,4236,592,1686,4504,15178,5651,15317,20968,0.22604,0.204226667,0.20968,7625,25017,12067,37203,49270,0.48268,0.49604,0.4927,1055,7056,8111,0.0422,0.09408,0.08111,3491,21313,24804,0.13964,0.284173333,0.24804,4546,28369,146,1203,0.032116146,0.042405443,18,95,0.003959525,0.003348726,164,1298,0.036075671,0.045754168,0.096502094,0.120836285,0.17386119,-1.229383886,-0.095497464,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,highUnequal,1.329383886,0.195497464,1.32588598,0.216333748,1.327444904,0.265086479,1.320961711,0.312820411,0.20968,0.3622,0.57318,51,57,1234,0.1,0.2,0.1,0.15,37,372852963,6.00484
105451,355,10608,28506,39114,0.42432,0.38008,0.39114,13076,35237,4018,11216,15234,0.16072,0.149546667,0.15234,3882,11118,15000,0.15528,0.14824,0.15,1628,4282,600,1695,4318,14703,5609,15655,21264,0.22436,0.208733333,0.21264,7604,25052,12379,37410,49789,0.49516,0.4988,0.49789,1059,7282,8341,0.04236,0.097093333,0.08341,3532,21606,25138,0.14128,0.28808,0.25138,4591,28888,160,1194,0.034850795,0.041332041,19,89,0.004138532,0.003080864,179,1283,0.038989327,0.044412905,0.069649967,0.07643921,0.152836303,-1.292099465,-0.124089879,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,highUnequal,1.392099465,0.224089879,1.361749432,0.200529089,1.316792611,0.259277188,1.307928819,0.293291482,0.21264,0.36297,0.57136,52,58,1234,0.1,0.2,0.1,0.15,38,234593122,6.00536
105902,353,8842,23531,32373,0.35368,0.313746667,0.32373,10624,28424,3188,8700,11888,0.12752,0.116,0.11888,3667,11333,15000,0.14668,0.151106667,0.15,1300,3569,489,1313,5507,17803,4369,11864,16233,0.17476,0.158186667,0.16233,8867,28765,12674,39084,51758,0.50696,0.52112,0.51758,817,5631,6448,0.03268,0.07508,0.06448,3558,21877,25435,0.14232,0.291693333,0.25435,4375,27508,137,1028,0.031314286,0.037370947,26,58,0.005942857,0.002108478,163,1086,0.037257143,0.039479424,0.094834821,0.119430191,0.162930682,-1.297429621,-0.120938144,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.397429621,0.220938144,1.392264442,0.240368334,1.289542484,0.255453323,1.278710021,0.295269096,0.16233,0.3572,0.57114,50,58,1234,0.1,0.2,0.1,0.15,39,347340370,6.00588
106355,353,9574,25802,35376,0.38296,0.344026667,0.35376,11615,31228,3611,9715,13326,0.14444,0.129533333,0.13326,3765,11235,15000,0.1506,0.1498,0.15,1448,3867,554,1475,5062,16513,4954,13257,18211,0.19816,0.17676,0.18211,8320,27252,12432,38334,50766,0.49728,0.51112,0.50766,910,6181,7091,0.0364,0.082413333,0.07091,3424,21577,25001,0.13696,0.287693333,0.25001,4334,27758,144,1055,0.033225658,0.038007061,19,83,0.004383941,0.002990129,163,1138,0.037609599,0.04099719,0.107993541,0.132147104,0.18301478,-1.264102564,-0.077854268,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.364102564,0.177854268,1.372096105,0.210001372,1.297024115,0.230586624,1.296417553,0.281780452,0.18211,0.35804,0.57286,50,57,116,0.1,0.2,0.1,0.15,4,115215454,6.00472
106808,353,9426,25598,35024,0.37704,0.341306667,0.35024,11472,30839,3512,9748,13260,0.14048,0.129973333,0.1326,3672,11328,15000,0.14688,0.15104,0.15,1405,3877,529,1490,5150,16791,4801,13123,17924,0.19204,0.174973333,0.17924,8378,27360,12456,38318,50774,0.49824,0.510906667,0.50774,873,6149,7022,0.03492,0.081986667,0.07022,3455,21599,25054,0.1382,0.287986667,0.25054,4328,27748,149,1084,0.034426987,0.039065879,16,76,0.003696858,0.002738936,165,1160,0.038123845,0.041804815,0.088870374,0.111459579,0.162999561,-1.347842688,-0.126690563,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.447842688,0.226690563,1.436713062,0.238150141,1.303561116,0.244503704,1.312713989,0.315244901,0.17924,0.37717,0.57311,50,58,1234,0.1,0.2,0.1,0.15,40,68826745,6.00444
107260,352,10302,27859,38161,0.41208,0.371453333,0.38161,12715,34336,3988,10809,14797,0.15952,0.14412,0.14797,3837,11163,15000,0.15348,0.14884,0.15,1561,4196,610,1607,4703,15639,5578,15045,20623,0.22312,0.2006,0.20623,7578,25019,11899,36899,48798,0.47596,0.491986667,0.48798,1082,7069,8151,0.04328,0.094253333,0.08151,3250,20817,24067,0.13,0.27756,0.24067,4332,27886,152,1145,0.035087719,0.04106003,28,93,0.006463527,0.003335007,180,1238,0.041551247,0.044395037,0.100932234,0.130219734,0.183044622,-1.17775724,-0.01999006,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.27775724,0.11999006,1.278689473,0.150209794,1.285026907,0.196097739,1.290113404,0.266442223,0.20623,0.38056,0.57295,49,56,1234,0.1,0.2,0.1,0.15,41,287319211,6.00464
107714,353,9626,26322,35948,0.38504,0.35096,0.35948,11770,31988,3600,10090,13690,0.144,0.134533333,0.1369,3797,11203,15000,0.15188,0.149373333,0.15,1476,3976,539,1523,5060,16328,5004,13756,18760,0.20016,0.183413333,0.1876,8168,26676,12370,37839,50209,0.4948,0.50452,0.50209,953,6402,7355,0.03812,0.08536,0.07355,3539,21481,25020,0.14156,0.286413333,0.2502,4492,27883,161,1062,0.035841496,0.038087724,20,78,0.00445236,0.002797403,181,1140,0.040293856,0.040885127,0.0836664,0.101320334,0.158275659,-1.239244491,-0.106748232,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.339244491,0.206748232,1.322910891,0.208068565,1.40480167,0.342326351,1.382456737,0.361874799,0.1876,0.36156,0.57239,50,57,1234,0.1,0.2,0.1,0.15,42,66134595,6.00456
108166,352,9782,25994,35776,0.39128,0.346586667,0.35776,11811,31685,3735,9761,13496,0.1494,0.130146667,0.13496,3783,11217,15000,0.15132,0.14956,0.15,1430,3828,576,1432,5091,16661,5021,13502,18523,0.20084,0.180026667,0.18523,8098,26644,12221,37750,49971,0.48884,0.503333333,0.49971,905,6240,7145,0.0362,0.0832,0.07145,3426,21146,24572,0.13704,0.281946667,0.24572,4331,27386,155,1032,0.035788502,0.037683488,25,87,0.005772339,0.003176806,180,1119,0.04156084,0.040860294,0.103631415,0.129442081,0.182691097,-1.298342541,-0.117107947,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.398342541,0.217107947,1.401973956,0.246550028,1.302953189,0.266884943,1.300353904,0.316850449,0.18523,0.38372,0.57366,49,57,122,0.1,0.2,0.1,0.15,43,233875664,6.0052
108618,351,10048,27099,37147,0.40192,0.36132,0.37147,12316,33127,3888,10375,14263,0.15552,0.138333333,0.14263,3761,11239,15000,0.15044,0.149853333,0.15,1505,4067,601,1600,5016,16387,5340,14303,19643,0.2136,0.190706667,0.19643,7666,25478,11912,36881,48793,0.47648,0.491746667,0.48793,1010,6652,7662,0.0404,0.088693333,0.07662,3304,20745,24049,0.13216,0.2766,0.24049,4314,27397,162,1093,0.037552156,0.039894879,26,75,0.006026889,0.002737526,188,1168,0.043579045,0.042632405,0.107178527,0.13489688,0.19408477,-1.195379538,-0.04895647,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,highUnequal,1.295379538,0.14895647,1.302558065,0.183853351,1.293093385,0.233059488,1.298959473,0.304452036,0.19643,0.37288,0.57368,48,55,1234,0.1,0.2,0.1,0.15,44,341378966,6.0052
109070,350,8767,23754,32521,0.35068,0.31672,0.32521,10479,28508,3226,8791,12017,0.12904,0.117213333,0.12017,3710,11290,15000,0.1484,0.150533333,0.15,1328,3612,499,1366,5859,18609,4370,11871,16241,0.1748,0.15828,0.16241,8660,27875,12323,37822,50145,0.49292,0.504293333,0.50145,797,5413,6210,0.03188,0.072173333,0.0621,3406,20924,24330,0.13624,0.278986667,0.2433,4203,26337,118,936,0.028075184,0.035539355,19,59,0.004520581,0.002240194,137,995,0.032595765,0.03777955,0.094508009,0.11492958,0.156065223,-1.263906315,-0.10555318,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,highUnequal,1.363906315,0.20555318,1.358414325,0.22048276,1.263636364,0.26568454,1.274190258,0.343654085,0.16241,0.38037,0.571,47,56,1234,0.1,0.2,0.1,0.15,45,816652522,6.00498
109525,352,9557,25847,35404,0.38228,0.344626667,0.35404,11574,31327,3686,9741,13427,0.14744,0.12988,0.13427,3756,11244,15000,0.15024,0.14992,0.15,1437,3894,568,1460,5189,16965,5020,13265,18285,0.2008,0.176866667,0.18285,8233,26702,12269,37777,50046,0.49076,0.503693333,0.50046,979,6153,7132,0.03916,0.08204,0.07132,3385,21126,24511,0.1354,0.28168,0.24511,4364,27279,149,1067,0.034142988,0.039114337,17,61,0.003895509,0.002236152,166,1128,0.038038497,0.041350489,0.119189907,0.141806467,0.185262209,-1.094994893,-0.007037448,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.194994893,0.107037448,1.2141848,0.148843916,1.253136531,0.242440897,1.25051408,0.296600031,0.18285,0.38128,0.57377,49,57,122,0.1,0.2,0.1,0.15,46,994371209,6.0051
109978,352,9543,25939,35482,0.38172,0.345853333,0.35482,11579,31617,3689,9797,13486,0.14756,0.130626667,0.13486,3747,11253,15000,0.14988,0.15004,0.15,1424,3844,549,1479,5197,16669,5012,13413,18425,0.20048,0.17884,0.18425,8223,26705,12354,37821,50175,0.49416,0.50428,0.50175,946,6285,7231,0.03784,0.0838,0.07231,3393,21352,24745,0.13572,0.284693333,0.24745,4339,27637,160,1045,0.036874856,0.037811629,18,64,0.004148421,0.002315736,178,1109,0.041023277,0.040127365,0.107940942,0.125842976,0.175951885,-1.214587738,-0.055746,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,highUnequal,1.314587738,0.155746,1.32252868,0.181588975,1.256196681,0.212232488,1.255626104,0.268264781,0.18425,0.38061,0.57405,49,57,128,0.1,0.2,0.1,0.15,47,742553788,6.00538
110436,357,10292,28082,38374,0.41168,0.374426667,0.38374,12821,34584,3972,10922,14894,0.15888,0.145626667,0.14894,3867,11133,15000,0.15468,0.14844,0.15,1584,4255,604,1653,4302,14424,5624,15204,20828,0.22496,0.20272,0.20828,7874,25985,12503,38500,51003,0.50012,0.513333333,0.51003,1024,7184,8208,0.04096,0.095786667,0.08208,3645,22203,25848,0.1458,0.29604,0.25848,4669,29387,155,1190,0.033197687,0.040494096,29,94,0.00621118,0.003198693,184,1284,0.039408867,0.043692789,0.09886202,0.122057546,0.180808876,-1.338541667,-0.151734141,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,54,TRUE,highUnequal,1.438541667,0.251734141,1.437403687,0.273791686,1.332530326,0.277536709,1.338006517,0.337097118,0.20828,0.36099,0.57639,54,60,120,0.1,0.2,0.1,0.15,48,730678877,6.00528
110885,353,10038,27304,37342,0.40152,0.364053333,0.37342,12422,33458,3809,10478,14287,0.15236,0.139706667,0.14287,3716,11284,15000,0.14864,0.150453333,0.15,1442,4124,527,1562,4741,15798,5338,14448,19786,0.21352,0.19264,0.19786,7835,25736,12238,37560,49798,0.48952,0.5008,0.49798,972,6739,7711,0.03888,0.089853333,0.07711,3477,21297,24774,0.13908,0.28396,0.24774,4449,28036,140,1093,0.031467746,0.03898559,24,83,0.005394471,0.002960479,164,1176,0.036862216,0.041946069,0.097789434,0.11811079,0.176000181,-1.311042524,-0.131919264,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.411042524,0.231919264,1.408831958,0.250030055,1.378611945,0.320774104,1.376414758,0.366960545,0.19786,0.37507,0.57436,50,57,1234,0.1,0.2,0.1,0.15,49,288228192,6.00504
111335,350,8343,22627,30970,0.33372,0.301693333,0.3097,9988,26899,2980,8299,11279,0.1192,0.110653333,0.11279,3723,11277,15000,0.14892,0.15036,0.15,1223,3383,434,1261,5952,19305,4062,11137,15199,0.16248,0.148493333,0.15199,9057,28789,12610,38219,50829,0.5044,0.509586667,0.50829,717,5148,5865,0.02868,0.06864,0.05865,3414,21185,24599,0.13656,0.282466667,0.24599,4131,26333,123,914,0.029774873,0.0347093,15,38,0.003631082,0.001443056,138,952,0.033405955,0.036152356,0.08608239,0.095384411,0.137446407,-1.393305439,-0.157056139,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,highUnequal,1.493305439,0.257056139,1.479387829,0.25244055,1.418906993,0.332222031,1.412256432,0.372019029,0.15199,0.36954,0.57395,47,56,1234,0.1,0.2,0.1,0.15,5,580581926,6.00474
111791,353,10171,27288,37459,0.40684,0.36384,0.37459,12459,33408,3934,10462,14396,0.15736,0.139493333,0.14396,3778,11222,15000,0.15112,0.149626667,0.15,1543,3999,550,1576,4802,15746,5472,14378,19850,0.21888,0.191706667,0.1985,7738,25837,12104,37629,49733,0.48416,0.50172,0.49733,1003,6741,7744,0.04012,0.08988,0.07744,3479,21264,24743,0.13916,0.28352,0.24743,4482,28005,159,1112,0.035475234,0.039707195,25,86,0.005577867,0.00307088,184,1198,0.041053101,0.042778075,0.124147173,0.154801673,0.213064693,-1.240279163,-0.09959526,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,highUnequal,1.340279163,0.19959526,1.364426336,0.254396934,1.282707732,0.254465561,1.29033061,0.322750221,0.1985,0.37481,0.57349,50,57,124,0.1,0.2,0.1,0.15,50,69345220,6.00442
112246,355,9398,25283,34681,0.37592,0.337106667,0.34681,11349,30700,3520,9617,13137,0.1408,0.128226667,0.13137,3755,11245,15000,0.1502,0.149933333,0.15,1382,3807,546,1458,4990,16206,4793,13120,17913,0.19172,0.174933333,0.17913,8658,28087,12780,39230,52010,0.5112,0.523066667,0.5201,888,6143,7031,0.03552,0.081906667,0.07031,3545,22246,25791,0.1418,0.296613333,0.25791,4433,28389,141,1024,0.031806903,0.036070309,19,65,0.004286037,0.002289619,160,1089,0.036092939,0.038359928,0.087558245,0.108258555,0.156201725,-1.305930931,-0.102381347,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,highUnequal,1.405930931,0.202381347,1.393489176,0.210639902,1.416600398,0.311446151,1.416167923,0.370931395,0.17913,0.37657,0.57455,52,60,126,0.1,0.2,0.1,0.15,51,814638999,6.00452
112699,355,10100,27484,37584,0.404,0.366453333,0.37584,12436,33735,3848,10554,14402,0.15392,0.14072,0.14402,3777,11223,15000,0.15108,0.14964,0.15,1538,4171,558,1619,4612,15199,5410,14652,20062,0.2164,0.19536,0.20062,7948,26060,12391,38189,50580,0.49564,0.509186667,0.5058,978,6860,7838,0.03912,0.091466667,0.07838,3510,21737,25247,0.1404,0.289826667,0.25247,4488,28597,158,1180,0.035204991,0.04126307,20,107,0.004456328,0.003741651,178,1287,0.039661319,0.045004721,0.097227357,0.121245189,0.173994209,-1.338104976,-0.132642287,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,highUnequal,1.438104976,0.232642287,1.435332333,0.253887477,1.340704501,0.270970919,1.333945744,0.318602367,0.20062,0.37705,0.5728,52,59,1234,0.1,0.2,0.1,0.15,52,327024193,6.0047
